tourney_id,tourney_name,surface,draw_size,winner_ht,winner_age,winner_rank,winner_rank_points,winner_ioc
2008-433,Las Vegas,Hard,32,203.0,21.793292265599998,175.0,242.0,RSA
2008-433,Las Vegas,Hard,32,198.0,20.4052019165,66.0,543.0,USA
2008-433,Las Vegas,Hard,32,198.0,20.4052019165,66.0,543.0,USA
2008-891,Chennai,Hard,32,185.0,21.5770020534,2.0,5735.0,ESP
2008-891,Chennai,Hard,32,193.0,23.786447638600002,253.0,160.0,USA
2008-891,Chennai,Hard,32,188.0,24.574948665300003,90.0,462.0,ESP
2008-891,Chennai,Hard,32,188.0,33.6810403833,66.0,565.0,AUT
2008-891,Chennai,Hard,32,190.0,31.342915811100003,17.0,1585.0,ESP
2008-891,Chennai,Hard,32,183.0,22.1793292266,255.0,159.0,RUS
2008-891,Chennai,Hard,32,180.0,26.8364134155,92.0,461.0,FRA
2008-891,Chennai,Hard,32,193.0,25.5249828884,98.0,437.0,BEL
2008-891,Chennai,Hard,32,183.0,26.609171800100004,60.0,590.0,AUT
2008-891,Chennai,Hard,32,185.0,27.449691991799998,112.0,390.0,BEL
2008-891,Chennai,Hard,32,188.0,24.090349076,97.0,438.0,FRA
2008-891,Chennai,Hard,32,183.0,25.5167693361,19.0,1570.0,RUS
2008-891,Chennai,Hard,32,190.0,25.941136208099998,45.0,683.0,FRA
2008-891,Chennai,Hard,32,198.0,19.2553045859,71.0,533.0,CRO
2008-891,Chennai,Hard,32,190.0,26.787132101300003,759.0,19.0,CRO
2008-891,Chennai,Hard,32,190.0,20.7364818617,114.0,388.0,NED
2008-891,Chennai,Hard,32,185.0,21.5770020534,2.0,5735.0,ESP
2008-891,Chennai,Hard,32,188.0,24.574948665300003,90.0,462.0,ESP
2008-891,Chennai,Hard,32,190.0,31.342915811100003,17.0,1585.0,ESP
2008-891,Chennai,Hard,32,180.0,26.8364134155,92.0,461.0,FRA
2008-891,Chennai,Hard,32,185.0,27.449691991799998,112.0,390.0,BEL
2008-891,Chennai,Hard,32,183.0,25.5167693361,19.0,1570.0,RUS
2008-891,Chennai,Hard,32,198.0,19.2553045859,71.0,533.0,CRO
2008-891,Chennai,Hard,32,190.0,20.7364818617,114.0,388.0,NED
2008-891,Chennai,Hard,32,185.0,21.5770020534,2.0,5735.0,ESP
2008-891,Chennai,Hard,32,190.0,31.342915811100003,17.0,1585.0,ESP
2008-891,Chennai,Hard,32,183.0,25.5167693361,19.0,1570.0,RUS
2008-891,Chennai,Hard,32,198.0,19.2553045859,71.0,533.0,CRO
2008-891,Chennai,Hard,32,185.0,21.5770020534,2.0,5735.0,ESP
2008-891,Chennai,Hard,32,183.0,25.5167693361,19.0,1570.0,RUS
2008-891,Chennai,Hard,32,183.0,25.5167693361,19.0,1570.0,RUS
2008-96,Beijing Olympics,Hard,64,185.0,27.0088980151,1.0,6330.0,SUI
2008-96,Beijing Olympics,Hard,64,,22.1054072553,447.0,62.0,ESA
2008-96,Beijing Olympics,Hard,64,190.0,24.4709103354,34.0,955.0,ITA
2008-96,Beijing Olympics,Hard,64,196.0,22.8993839836,20.0,1235.0,CZE
2008-96,Beijing Olympics,Hard,64,183.0,23.6221765914,14.0,1350.0,FRA
2008-96,Beijing Olympics,Hard,64,185.0,30.7104722793,58.0,700.0,ARG
2008-96,Beijing Olympics,Hard,64,183.0,30.6009582478,451.0,61.0,SVK
2008-96,Beijing Olympics,Hard,64,185.0,28.621492128699998,7.0,2020.0,USA
2008-96,Beijing Olympics,Hard,64,178.0,27.1923340178,5.0,2805.0,RUS
2008-96,Beijing Olympics,Hard,64,185.0,26.5790554415,26.0,1030.0,FRA
2008-96,Beijing Olympics,Hard,64,203.0,22.234086242300002,110.0,439.0,RSA
2008-96,Beijing Olympics,Hard,64,183.0,31.101984941799998,21.0,1210.0,GER
2008-96,Beijing Olympics,Hard,64,183.0,28.0355920602,15.0,1340.0,CHI
2008-96,Beijing Olympics,Hard,64,198.0,19.8685831622,33.0,960.0,CRO
2008-96,Beijing Olympics,Hard,64,168.0,27.5619438741,72.0,574.0,BEL
2008-96,Beijing Olympics,Hard,64,180.0,24.1368925394,46.0,849.0,SRB
2008-96,Beijing Olympics,Hard,64,180.0,26.609171800100004,8.0,1930.0,ARG
2008-96,Beijing Olympics,Hard,64,183.0,28.837782340900002,125.0,383.0,CHI
2008-96,Beijing Olympics,Hard,64,198.0,27.0581793292,57.0,728.0,ROU
2008-96,Beijing Olympics,Hard,64,193.0,21.943874058899997,43.0,863.0,FRA
